Auteur;Date;Titre;Editeur;Auteur - Titre
Seibert P.;1954;Die Niederwaldgesellschaften des sudwestfälischen Berglandes. ;Allg. F.-u. J.-Ztg. 126: 1-12.;Seibert P. - Die Niederwaldgesellschaften des sudwestfälischen Berglandes.  - 1954
Senn O.;1989;Dynamique de la végétation dans des parcours soumis au paturage contrôlé (région de Buëch - Hautes-Alpes);"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 799-803";Senn O. - Dynamique de la végétation dans des parcours soumis au paturage contrôlé (région de Buëch - Hautes-Alpes) - 1989
Seytre L.;2005;Caractérisation des pelouses sèches alluviales relevant de la Directive Habitats en Auvergne (6120, 6210, 8230).;CNBMC, Chavaniac-Lafayette, 56p. ;Seytre L. - Caractérisation des pelouses sèches alluviales relevant de la Directive Habitats en Auvergne (6120, 6210, 8230). - 2005
Seytre L.;2006;Caractérisation des  végétations pionnières amphibies annuelles des mares temporaires des chaux basaltiques relevant de la Directive Habitats en Auvergne (3130).;CNBMC, Chavaniac-Lafayette, 46p. ;Seytre L. - Caractérisation des  végétations pionnières amphibies annuelles des mares temporaires des chaux basaltiques relevant de la Directive Habitats en Auvergne (3130). - 2006
Seytre L.;2007;Caractérisation des  végétations chasmophytiques des falaises collinéennes à montagnardes relevant de la Directive Habitats en Auvergne (8210, 8220).;CNBMC, Chavaniac-Lafayette, 65p. ;Seytre L. - Caractérisation des  végétations chasmophytiques des falaises collinéennes à montagnardes relevant de la Directive Habitats en Auvergne (8210, 8220). - 2007
Seytre L.;2008;Caractérisation des Hêtraies subalpines médio-européennes à Acer et Rumex arifolius relevant de la directive “Habitats” en Auvergne (9140). ;CNBMC, Chavaniac-Lafayette,63p. ;Seytre L. - Caractérisation des Hêtraies subalpines médio-européennes à Acer et Rumex arifolius relevant de la directive “Habitats” en Auvergne (9140).  - 2008
Seytre L., Choisnet G. & Cloitre F.;2004;Les forêts de pentes, d’éboulis et de ravins du Tilio-Acerion (9180) en Auvergne.;CNBMC, Chavaniac-Lafayette, 56p. ;Seytre L., Choisnet G. & Cloitre F. - Les forêts de pentes, d’éboulis et de ravins du Tilio-Acerion (9180) en Auvergne. - 2004
Shimwell D.W.;1975;Man-induced changes in the Heathland Vegetation of Central England;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 59-74";Shimwell D.W. - Man-induced changes in the Heathland Vegetation of Central England - 1975
Simeray J.;1976;Essai d'interprétation des groupements végétaux de la région de Saint-Claude en vue d'une synthèse cartographique.;Annales Scientifique de l'Université de Besançon, 3éme sér., fasc. 17, p.133-232;Simeray J. - Essai d'interprétation des groupements végétaux de la région de Saint-Claude en vue d'une synthèse cartographique. - 1976
Sizykh A.;2000;Phytosociological data for the organization of reservations and national parks through historical and recent analyses of information use and perspectives (western coast of lake Baïkal);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 971-977";Sizykh A. - Phytosociological data for the organization of reservations and national parks through historical and recent analyses of information use and perspectives (western coast of lake Baïkal) - 2000
Smettan H.;1981;Die Pflanzengesellschaften des Kaisergebirges/Tirol.;Jahrbuch Verein zum Schutz der Bergwelt: 81-159.;Smettan H. - Die Pflanzengesellschaften des Kaisergebirges/Tirol. - 1981
Sofron J.;1979;P?ísp?vek k syntaxonomii ?eskoslovenských jedlin.;Zpr. Muz. Západo?es. Kr., Plze?, P?íroda 22: 43-52.;Sofron J. - P?ísp?vek k syntaxonomii ?eskoslovenských jedlin. - 1979
Sofron J.;1980;Vegetation einiger auserlesener Hochmoore von Šumavské plán? (Hochebenen von Böhmerwald).;Folia Musei Rerum Naturalium Bohemiae Occidentalis. Botanica 14: 1-41.;Sofron J. - Vegetation einiger auserlesener Hochmoore von Šumavské plán? (Hochebenen von Böhmerwald). - 1980
Sofron J.;1981;P?irozené smr?iny západních a jihozápadních  ?ech.;Academia, ?eskoslovenské akademie v?d, Praha, 127p.;Sofron J. - P?irozené smr?iny západních a jihozápadních  ?ech. - 1981
Sofron J. & Št?pán J.;1971;Vegetace šumavských kar?.;Rozpravy C?eskoslovenske? akademie ve?d. R?ada matematicky?ch a pr?i?rodni?ch ve?d 81(1): 8-48.;Sofron J. & Št?pán J. - Vegetace šumavských kar?. - 1971
Sokolowski A.;1986;Plant communities dominated by Carex rostrata in north-eastern Polan - Zbiorowiska z Carex rostrata w pó?nocno-wschodniej Polsce.;Fragmenta floristica et geobotanica XXXI-XXXII(3-4): 446-453.;Sokolowski A. - Plant communities dominated by Carex rostrata in north-eastern Polan - Zbiorowiska z Carex rostrata w pó?nocno-wschodniej Polsce. - 1986
Soó R.;1938;Vízi, mocsári és réti növényszövetkezetek a Nyirségen.;Bot. Közl. XXXV(5-6): 249-273.;Soó R. - Vízi, mocsári és réti növényszövetkezetek a Nyirségen. - 1938
Soó R.;1927/1928;Geobotanische Monographie von Kolozsvár (Klausenburg).;Mitteilungen der Kommission für Heimatkunde der Wissenschaftlichen Graf Stefan Tisza Gesellschaft in Debrecen IV: 1-151.;Soó R. - Geobotanische Monographie von Kolozsvár (Klausenburg). - 1927/1928
Soó R.;1947a;Revue systématique des associations végétales des environs de Kolozsvár (respectivement de la Mes?ség et de la région de la Szamos, en Transylvanie).;Acta geobotanica hungarica, NS I, VI(1): 3-50. ;Soó R. - Revue systématique des associations végétales des environs de Kolozsvár (respectivement de la Mes?ség et de la région de la Szamos, en Transylvanie). - 1947a
Soó R.;1947b;Conspectus des groupements végétaux dans les Bassins Carpathiques. I. Les associations halophiles.;Edition de l’Institut Botanique de l’Université à Debrecen, Debrecen, 60p.;Soó R. - Conspectus des groupements végétaux dans les Bassins Carpathiques. I. Les associations halophiles. - 1947b
Souchon C.;1965;Etude de la localisation stationnelle du Betula nana L. en Margeride.;Rev. Sc. Nat. d'Auvergne 31: 59-72.;Souchon C. - Etude de la localisation stationnelle du Betula nana L. en Margeride. - 1965
Steffen H.;1931;Vegetationskude von Ostpreußen.;Pflanzensoziologie 1: 1-406.;Steffen H. - Vegetationskude von Ostpreußen. - 1931
Stein J.;1988;Un intermédiaire écologique adéquat en aménagement du territoire: la végétation naturelle potentielle;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 569-579";Stein J. - Un intermédiaire écologique adéquat en aménagement du territoire: la végétation naturelle potentielle - 1988
Steiner G.M.;1992;Österreichischer Moorschutzkatalog.;Styria-Medienservice, Wien, 509p. ;Steiner G.M. - Österreichischer Moorschutzkatalog. - 1992
Steiner G.M.;1993;Oxycocco-Sphagnetea. In Grabherr G. & Mucina L. Die pflanzengesellschaften österreichs. Teil 2.;Naturliche Waldfrei vegetation. Gustav Fischer, Jena, Stuttgart, New-York: 166-181.;Steiner G.M. - Oxycocco-Sphagnetea. In Grabherr G. & Mucina L. Die pflanzengesellschaften österreichs. Teil 2. - 1993
Stieperaere H.;1975;Le Violon caninae au sud de Bruges;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 157-160";Stieperaere H. - Le Violon caninae au sud de Bruges - 1975
Straka H.;1975;L'histoire des landes de l'Eifel d'après les analyses polliniques;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 259-262";Straka H. - L'histoire des landes de l'Eifel d'après les analyses polliniques - 1975
Succow M.;1974;Vorschlag einer systematischen Neugliederung der mineralbodenwasserbeeinflußten wachsenden Moorvegetation Mitteleuropas unter Ausklammerung des Gebirgraumes.;Feddes Repertorium 85(1-2): 57-113.;Succow M. - Vorschlag einer systematischen Neugliederung der mineralbodenwasserbeeinflußten wachsenden Moorvegetation Mitteleuropas unter Ausklammerung des Gebirgraumes. - 1974
Sulmont E. & Petetin A.;2000;Caractérisation des hêtraies de l'Asperulo-Fagetum en Auvergne;C.B.N.M.C., 39 p.;Sulmont E. & Petetin A. - Caractérisation des hêtraies de l'Asperulo-Fagetum en Auvergne - 2000
Szoszkiewicz J. & Szoszkiewicz K.;1995;The estimation of the agricultural value of grassland communities on the base of large area geobotanical surveys;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 671-674";Szoszkiewicz J. & Szoszkiewicz K. - The estimation of the agricultural value of grassland communities on the base of large area geobotanical surveys - 1995
Tanghe M.;1988;Base phytosociologique de l'évaluation et de l'aménagement des espaces délaissés par l'agriculture dans le milieu urbain Bruxellois;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 591-603";Tanghe M. - Base phytosociologique de l'évaluation et de l'aménagement des espaces délaissés par l'agriculture dans le milieu urbain Bruxellois - 1988
Tanghe M.;1993;Dynamique forestière sur friche post-culturale dans la région Bruxelloise: vingt d'observations diachroniques;"Coll. Phytosoc. XX, ""Phytodynamique et Biogéographie historique des forêts"", Bailleul 1991: 377-380";Tanghe M. - Dynamique forestière sur friche post-culturale dans la région Bruxelloise: vingt d'observations diachroniques - 1993
Thébaud G.;1984;Carex limosa dans les massifs du Forez et du Livradois : phytosociologie et écologie.;Rev. Sc. Nat. d'Auvergne, 50, 51-58.;Thébaud G. - Carex limosa dans les massifs du Forez et du Livradois : phytosociologie et écologie. - 1984
Thébaud G.;2000;Les habitats d'intérêt communautaire en Auvergne.;Rev. Sc. Nat. d'Auvergne, 64,87-97.;Thébaud G. - Les habitats d'intérêt communautaire en Auvergne. - 2000
Thébaud G.;2004;Les monts du Forez dans le nord-est du Massif central cristallin. Deuxième partie : catalogue commenté des groupements végétaux de l'étage montagnard moyen à l'étage subalpin.;J. Bot. Soc. Bot. France, 26, 73-81.;Thébaud G. - Les monts du Forez dans le nord-est du Massif central cristallin. Deuxième partie : catalogue commenté des groupements végétaux de l'étage montagnard moyen à l'étage subalpin. - 2004
Thébaud G.;2006;Associations végétales récemment décrites dans le Massif Central oriental français : typification et validation nomenclaturale;Rev. Sc. Nat. d'Auvergne, NS, vol. 70, fasc. 1-2-3-4, 75-95;Thébaud G. - Associations végétales récemment décrites dans le Massif Central oriental français : typification et validation nomenclaturale - 2006
Thébaud G.;2006;Associations végétales récemment décrites dans le Massif central oriental français: typification et validation nomenclaturale.;Rev. Sc. Nat. d'Auvergne 70: 75-95. ;Thébaud G. - Associations végétales récemment décrites dans le Massif central oriental français: typification et validation nomenclaturale. - 2006
Thébaud G.;2008;Flore et végétation du Puy Saint-Romain (Puy-de-Dôme, France).;Rev. Sc. Nat. d'Auvergne, 72, 13-20.;Thébaud G. - Flore et végétation du Puy Saint-Romain (Puy-de-Dôme, France). - 2008
Thébaud G.;2011;Contribution au prodrome des végétations de France : les Oxycocco-Sphagnetea Br.-Bl. & Tüx. (tourbières acides eurosibériennes).;J. Bot. Soc. Bot. France 56 : 69-97;Thébaud G. - Contribution au prodrome des végétations de France : les Oxycocco-Sphagnetea Br.-Bl. & Tüx. (tourbières acides eurosibériennes). - 2011
Thébaud G. & Desfougères S. ;2004;Ecocomplexe tourbeux des sources du Lignon (Loire, Massif central, France) : milieux végétaux et cartographie.;J. Bot. Soc. Bot. France, 26 : 9 – 17. ;Thébaud G. & Desfougères S.  - Ecocomplexe tourbeux des sources du Lignon (Loire, Massif central, France) : milieux végétaux et cartographie. - 2004
Thébaud G. & Etlicher B.;1997;Les nardaies subalpines à Trifolium alpinum des monts du Forez et leur biotope à congères tardives.;Acta Bot. Gallica, 144 (2), 217-230.;Thébaud G. & Etlicher B. - Les nardaies subalpines à Trifolium alpinum des monts du Forez et leur biotope à congères tardives. - 1997
Thébaud G. & Lemée G.;1995;Groupements forestiers mûrs à Abies alba dans les monts du Forez.;Acta Bot. Gallica, 142 (3), 253-266.;Thébaud G. & Lemée G. - Groupements forestiers mûrs à Abies alba dans les monts du Forez. - 1995
Thébaud G. & Pétel G.;2008;A contribution to the revision of ombrotrophic and ombrominerotrophic medioeuropean mires communities.;Phytocoenologia 38 (4) 239-256.;Thébaud G. & Pétel G. - A contribution to the revision of ombrotrophic and ombrominerotrophic medioeuropean mires communities. - 2008
Thébaud G., Goubet P., Skrzypczak R. & Sourp E.;2009a;Communautés végétales des tourbières ombrotrophes du Massif Central (France).;Acta Bot. Gallica 156(3): 341-377. ;Thébaud G., Goubet P., Skrzypczak R. & Sourp E. - Communautés végétales des tourbières ombrotrophes du Massif Central (France). - 2009a
Thébaud G., Laire R. & Pétel G.;2003;La végétation des vallées du Fossat et des Reblats : site classé des monts du Forez, Massif central , France.;Journ. Bot., 23 : 17-27.;Thébaud G., Laire R. & Pétel G. - La végétation des vallées du Fossat et des Reblats : site classé des monts du Forez, Massif central , France. - 2003
Thébaud G., Pouvaret S., Delcoigne A. & Srkypczak R.;2009b;Les Marais: une tourbière méconnue aux confins de l'Auvergne et du Forez (Massif central, France).;Rev. Sc. Nat. d' Auvergne 73: 55-69. ;Thébaud G., Pouvaret S., Delcoigne A. & Srkypczak R. - Les Marais: une tourbière méconnue aux confins de l'Auvergne et du Forez (Massif central, France). - 2009b
Thébaud G., Roux C., Delcoigne A. & Pétel G.;2012;A contribution to the revision of acid fen-land communities of temperate western Europe.;Phytocoenologia, 42 (1-2) :47-98. ;Thébaud G., Roux C., Delcoigne A. & Pétel G. - A contribution to the revision of acid fen-land communities of temperate western Europe. - 2012
Thébaud G., Schaminée J.H.J.  & Hennekens S.M. ;1992;Contribution à l'étude de l'étage subalpin des moyennes montagnes ouest-européennes: quelques groupements végétaux foréziens comparés à leurs homologues d'autres massifs.;Bull. Soc. Bot. Centre Ouest, 23, 45-63.;Thébaud G., Schaminée J.H.J.  & Hennekens S.M.  - Contribution à l'étude de l'étage subalpin des moyennes montagnes ouest-européennes: quelques groupements végétaux foréziens comparés à leurs homologues d'autres massifs. - 1992
Thébaud G., Skrzypczak R., Roux C. & Delcoigne A.;2010;Une analyse intégrée des tourbières acides du Massif Central. In Actes des premières rencontres végétales du Massif central.;Conservatoire botanique national du Massif central, Clermont-Ferrand: 23-32. ;Thébaud G., Skrzypczak R., Roux C. & Delcoigne A. - Une analyse intégrée des tourbières acides du Massif Central. In Actes des premières rencontres végétales du Massif central. - 2010
Thébaud G., Skrzypczak R., Roux C. & Delcoigne A.;2012;Une analyse intégrée des végétations des tourbières acides du Massif central.;Actes du colloque des 1ères rencontres végétales du Massif central. Le Puy-en-Velay : 23–32.;Thébaud G., Skrzypczak R., Roux C. & Delcoigne A. - Une analyse intégrée des végétations des tourbières acides du Massif central. - 2012
Theurillat J.-P.;1991;Toposéquence paysagère dans la région d'Aletsch (Valais, Suisse): méthodologie et possibilités d'applications pratiques;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 221-231";Theurillat J.-P. - Toposéquence paysagère dans la région d'Aletsch (Valais, Suisse): méthodologie et possibilités d'applications pratiques - 1991
Theurillat J.-P.;1992;Les prairies à Trisetum flavescens (L.) P. Beauv. (Triseto-Polygonion) dans la région d'Aletsch (Valais) et en Suisse;Candollea, 47, 319-356;Theurillat J.-P. - Les prairies à Trisetum flavescens (L.) P. Beauv. (Triseto-Polygonion) dans la région d'Aletsch (Valais) et en Suisse - 1992
Theurillat J.-P.;2000;Eight years of indexing new names and typifications of syntaxa;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 883-896";Theurillat J.-P. - Eight years of indexing new names and typifications of syntaxa - 2000
Theurillat J.-P., Aeschimann D., Küpper Ph. & Spichiger R.;1995;The higher vegetation units of the Alps;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 189-239";Theurillat J.-P., Aeschimann D., Küpper Ph. & Spichiger R. - The higher vegetation units of the Alps - 1995
Theurillat J.-P., Delarze R. & Werner Ph.;1988;Inventaire des terrains secs de Suisse;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 273-280";Theurillat J.-P., Delarze R. & Werner Ph. - Inventaire des terrains secs de Suisse - 1988
Thévenin S.;1991;Etude phytosociologique du marais du Vivier de Chenay, communes de Chenay et de Trigny (51).;Bull. Soc. Et. Sc. Nat. Reims  5: 31-48.  ;Thévenin S. - Etude phytosociologique du marais du Vivier de Chenay, communes de Chenay et de Trigny (51). - 1991
Thévenin S., Royer J.-M. & Didier B.;2010;Groupements végétaux des tourbières alcalines de Champagne.;Bull. Soc. Et. Sc. Nat. Reims 24: 35-98. ;Thévenin S., Royer J.-M. & Didier B. - Groupements végétaux des tourbières alcalines de Champagne. - 2010
Thill A.;1964;La Flore et la Végétation du Parc National de Lesse et Lomme.;Monographie 5, Association Ardenne et Gaume, Vierves-sur-Viroin, 51p.  (extrait);Thill A. - La Flore et la Végétation du Parc National de Lesse et Lomme. - 1964
Thill A.;1988;Exemple de Frenaie naturelle en voie d'évolution vers une érablière;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  617-627";Thill A. - Exemple de Frenaie naturelle en voie d'évolution vers une érablière - 1988
Thoen D., Roussel L., Nicolas J.;1996;Etude des groupements de macrophytes vasculaires aquatiques de la Semois en rapport avec la qualité globale des eaux et du milieu;Ecologie, 27 (4), 223-232;Thoen D., Roussel L., Nicolas J. - Etude des groupements de macrophytes vasculaires aquatiques de la Semois en rapport avec la qualité globale des eaux et du milieu - 1996
Timbal J.;1988;Les chênaies acidophiles du Médoc;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  133-166";Timbal J. - Les chênaies acidophiles du Médoc - 1988
Tosca Cl.;1989;Les pelouses supraforestières dans les Pyrénées Centrales: Typologie des groupements et facteurs actifs de leur differenciation;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 805-816";Tosca Cl. - Les pelouses supraforestières dans les Pyrénées Centrales: Typologie des groupements et facteurs actifs de leur differenciation - 1989
Touffet J. & Clement B.;1991;Analyse comparée des paysages semi-naturels des monts d'Arrée et du massif de Paimpont (Bretagne);"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 93-108";Touffet J. & Clement B. - Analyse comparée des paysages semi-naturels des monts d'Arrée et du massif de Paimpont (Bretagne) - 1991
Toussaint B.;2000;L'étude phytosociologique appliquée au diagnostic, à l'évaluation et au suivi phytocoenotiques d'un site littoral protégé: la réserve naturelle de la baie de Somme (département de la Somme, France);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 1043-1069";Toussaint B. - L'étude phytosociologique appliquée au diagnostic, à l'évaluation et au suivi phytocoenotiques d'un site littoral protégé: la réserve naturelle de la baie de Somme (département de la Somme, France) - 2000
Trivaudey M.-J.;1989;Les prairies longuement inondables de la vallée de la Saône;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 817-834";Trivaudey M.-J. - Les prairies longuement inondables de la vallée de la Saône - 1989
Trivaudey M.-J.;1995;Contribution à l’étude phytosociologique des prairies alluviales de l’est de la France (vallées de la Saône, de la Seille, de l’Ognon, de la Lanterne et du Breuchin).;Thèse, Besançon, 207p.;Trivaudey M.-J. - Contribution à l’étude phytosociologique des prairies alluviales de l’est de la France (vallées de la Saône, de la Seille, de l’Ognon, de la Lanterne et du Breuchin). - 1995
Tüllmann G. & Böttcher H.;1985;Synanthropic vegetation and structure of urban subsystems;"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 481-523";Tüllmann G. & Böttcher H. - Synanthropic vegetation and structure of urban subsystems - 1985
Turmel  J.M.;1955;Le Pic de Midi d'Ossau. Ecologie et vegetation.;Mém. Mus. Nat. Hist. Natl. série B, Botanique, NS, V: 1-207.;Turmel  J.M. - Le Pic de Midi d'Ossau. Ecologie et vegetation. - 1955
Tüxen J.;1973;Über die Systematik der Hochmoor-Bultvegetation (Oxycocco-Sphagnetea Br.-Bl. Et R. Tx. 1943).;TELMA 3(1): 101-118.;Tüxen J. - Über die Systematik der Hochmoor-Bultvegetation (Oxycocco-Sphagnetea Br.-Bl. Et R. Tx. 1943). - 1973
Tüxen J.;1983;Pflanzengesellschaften ostniedersächsischer Heidemoore und ihre Genese.;Jb. Naturw. Verein Fstm. Lbg. 36: 101-137.;Tüxen J. - Pflanzengesellschaften ostniedersächsischer Heidemoore und ihre Genese. - 1983
Tüxen R.;1937;Die Pflanzengesellschaften Nordwestdeutschlands. Jahresber.;Naturh. Ges. Hannover 31/87: 1-170. ;Tüxen R. - Die Pflanzengesellschaften Nordwestdeutschlands. Jahresber. - 1937
Tüxen R.;1953;Sagittaria sagittifolia-Sparganium simplex-Ass. ;Mitt. Flor.-soz. Arbeitsgem NF 4: 14. ;Tüxen R. - Sagittaria sagittifolia-Sparganium simplex-Ass.  - 1953
Tüxen R.;1955;Das System der nordwestdeutschen Pflanzengesellschaften.  ;Mitt. Flor.-soz. Arbeitsgem 5: 155-176.;Tüxen R. - Das System der nordwestdeutschen Pflanzengesellschaften.   - 1955
Tüxen R.;1958;Pflanzengesellschaften oligotropher Heidetümpel Nordwestdeutschlands.;Veröff. Geobot. Inst. Eidg. Techn. Hochschule, Stiftung Rübel, Zürich 33: 207-231.;Tüxen R. - Pflanzengesellschaften oligotropher Heidetümpel Nordwestdeutschlands. - 1958
Tüxen R.;1961;Anthropogene Vegetation;W. JUNG, Den Haag, 398 p.;Tüxen R. - Anthropogene Vegetation - 1961
Tüxen R.;1974;Die Haselünner Kuhweide. Die Pflanzengesellschaften einer mittelalterlichen Gemeindeweide. ;Mitt. Flor.-soz. Arbeitsgem NF 17: 69-109.;Tüxen R. - Die Haselünner Kuhweide. Die Pflanzengesellschaften einer mittelalterlichen Gemeindeweide.  - 1974
Tüxen R.;1975;La Lüneburg-Heide (Lande de Lunebourg), origine et fin d'un paysage endémique;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 379-396";Tüxen R. - La Lüneburg-Heide (Lande de Lunebourg), origine et fin d'un paysage endémique - 1975
Tüxen R. & Oberdorfer E.;1958;Eurosibirische Phanerogamen-Gesellschaften Spaniens mit Ausblicken auf die Mediterran-Region dieses Landes. ;Veröff. Geobot. Inst. Eidg. Techn. Hochschule, Stiftung Rübel, Zürich 32: 1-328.;Tüxen R. & Oberdorfer E. - Eurosibirische Phanerogamen-Gesellschaften Spaniens mit Ausblicken auf die Mediterran-Region dieses Landes.  - 1958
Tüxen R. & Preising E.;1951;Erfahrungsgrundlagen für die pflanzensoziologische Kartierung des westdeutschen Grünlandes.;Angewandte Pflanzensoziologie 4: 1-28. ;Tüxen R. & Preising E. - Erfahrungsgrundlagen für die pflanzensoziologische Kartierung des westdeutschen Grünlandes. - 1951
Vadam J.-C.;1985;Approche du comportement phytosociologique du genre Rhodobryum dans le Lomont (Jura septentrional);Société d'Histoire Naturelle du Pays de Montbéliard, 52-54;Vadam J.-C. - Approche du comportement phytosociologique du genre Rhodobryum dans le Lomont (Jura septentrional) - 1985
Valle F., Mota J.-F. & Gomez-Mercado F.;1988;Dinamica de la vegetacion en el sureste de la peninsula Iberica;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 753-771";Valle F., Mota J.-F. & Gomez-Mercado F. - Dinamica de la vegetacion en el sureste de la peninsula Iberica - 1988
Van Asbroeck P., Kouka L. A. & Lejoly J.;2000;Les associations végétales de ligneux dans la forêt à Marantaceae du parc national d'Odzala (Congo-Brazzaville);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 383-397";Van Asbroeck P., Kouka L. A. & Lejoly J. - Les associations végétales de ligneux dans la forêt à Marantaceae du parc national d'Odzala (Congo-Brazzaville) - 2000
Van Donselaar J.;1961;On the vegetation of former river beds in the Netherlands.;Wentia 5: 1-85.;Van Donselaar J. - On the vegetation of former river beds in the Netherlands. - 1961
Van Groenewoud H.;;An analysis and classification of white spruce (Picea glauca) communities in relation to certain habitat features.;Canadian Journal of Botany, Vol. 43, p. 1025-1036;Van Groenewoud H. - An analysis and classification of white spruce (Picea glauca) communities in relation to certain habitat features. - 
Van Haluwyn C. & Lerond M.;1988;La lichénologie dans l'évaluation de la qualité du milieu;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 233-250";Van Haluwyn C. & Lerond M. - La lichénologie dans l'évaluation de la qualité du milieu - 1988
Van Speybroeck D.;1984;Observations phytosociologiques sur les pelouses calcaires de la vallée de la Somme (dép. Somme, France);"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 105-115";Van Speybroeck D. - Observations phytosociologiques sur les pelouses calcaires de la vallée de la Somme (dép. Somme, France) - 1984
Vanden Berghen C.;1958;Etude sur la végétation des dunes et des landes de la Bretagne.;Vegetatio VIII: 193-208. ;Vanden Berghen C. - Etude sur la végétation des dunes et des landes de la Bretagne. - 1958
Vanden Berghen C.;1963;Étude sur la végétation des Grands Causses du Massif Central de France.;Mém. Soc. Roy. Bot. Belgique 1: 1-285. ;Vanden Berghen C. - Étude sur la végétation des Grands Causses du Massif Central de France. - 1963
Vanden Berghen C.;1964;La végétation des rives du lac de Hourtin (Gironde, France).;Bull. Jard. Bot. Bruxelles 34: 243-267.;Vanden Berghen C. - La végétation des rives du lac de Hourtin (Gironde, France). - 1964
Vanden Berghen C.;1969;La végétation amphibie des rives des étangs de la Gascogne.;Bulletin du C.E.R.S. Biarritz 7(4): 893-963.;Vanden Berghen C. - La végétation amphibie des rives des étangs de la Gascogne. - 1969
Vanden Berghen C.;1975;Les landes à Erica vagans de la Haute Soule (Pyrénées Atlantiques, France);"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 91-96";Vanden Berghen C. - Les landes à Erica vagans de la Haute Soule (Pyrénées Atlantiques, France) - 1975
Vanden Berghen C.;1951a;Landes tourbeuses et tourbières bombées à sphaignes de Belgique (Ericto-Sphagnetalia Schwickerath 1940).;Bull. Soc. Roy. Bot. Belgique 84: 157-226.;Vanden Berghen C. - Landes tourbeuses et tourbières bombées à sphaignes de Belgique (Ericto-Sphagnetalia Schwickerath 1940). - 1951a
Vanden Berghen C.;1951b;Note sur la végétation de quelques tourbières de la Margeride méridionale.;Bull. Soc. Roy. Bot. Belgique 83: 365-372.;Vanden Berghen C. - Note sur la végétation de quelques tourbières de la Margeride méridionale. - 1951b
Vanesse R.;1988;La représentation des espèces ligneuses dans les haies nouvelles des remembrements;"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 554-568";Vanesse R. - La représentation des espèces ligneuses dans les haies nouvelles des remembrements - 1988
Venanzoni R.;1985;"La végétation des ""Scotanare"" dans les environs de Camerino";"Coll. Phytosoc. XII, ""Les végétations nitrophiles et anthropogènes"", Bailleul 1983: 391-399";"Venanzoni R. - La végétation des ""Scotanare"" dans les environs de Camerino - 1985"
Venanzoni R.;1989;I prati umidi (Calthion) del lago della Serraia (Trentino);"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 835-845";Venanzoni R. - I prati umidi (Calthion) del lago della Serraia (Trentino) - 1989
Verger J.-P., Vilks A., Javellaud J. & Botineau M.;1988;Le taillis de chataignier de la forêt communale de Cussac (87): rapport sol-végétation;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  515-525";Verger J.-P., Vilks A., Javellaud J. & Botineau M. - Le taillis de chataignier de la forêt communale de Cussac (87): rapport sol-végétation - 1988
Verhoeven J.T.A. & Vermeer J.G.H.;1986;Species composition of small fens in relation to the nutrient status of the peat soil and the ground water;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 815-824";Verhoeven J.T.A. & Vermeer J.G.H. - Species composition of small fens in relation to the nutrient status of the peat soil and the ground water - 1986
